,Dw,Lw,rsmin,rsmax
0,0.003,0.003,0.0001,0.0007
1,0.003,0.004,0.0001,0.0007
2,0.003,0.005,0.0001,0.0007
3,0.0035,0.005,0.0001,0.0007
4,0.004,0.004,0.0002,0.0007
5,0.004,0.006,0.0002,0.0007
6,0.004,0.008,0.0002,0.0007
7,0.0045000000000000005,0.0045000000000000005,0.0002,0.0007
8,0.0045000000000000005,0.006,0.0002,0.0007
9,0.005,0.005,0.0002,0.0007
10,0.005,0.008,0.0002,0.0007
11,0.005,0.01,0.0002,0.0007
12,0.0055,0.0055,0.0002,0.0007
13,0.0055,0.008,0.0002,0.0007
14,0.006,0.006,0.0002,0.0007
15,0.006,0.008,0.0002,0.0007
16,0.006,0.009000000000000001,0.0002,0.0007
17,0.006,0.01,0.0002,0.0007
18,0.006,0.012,0.0002,0.0007
19,0.006500000000000001,0.006500000000000001,0.0002,0.0008
20,0.006500000000000001,0.008,0.0002,0.0008
21,0.006500000000000001,0.009000000000000001,0.0002,0.0008
22,0.007,0.007,0.0002,0.0008
23,0.007,0.01,0.0002,0.0008
24,0.007,0.014,0.0002,0.0008
25,0.0075,0.0075,0.0002,0.0008
26,0.0075,0.009000000000000001,0.0002,0.0008
27,0.0075,0.01,0.0002,0.0008
28,0.0075,0.011,0.0002,0.0008
29,0.008,0.008,0.0003,0.0008
30,0.008,0.01,0.0003,0.0008
31,0.008,0.012,0.0003,0.0008
32,0.008,0.014,0.0003,0.0008
33,0.008,0.016,0.0003,0.0008
34,0.008,0.02,0.0003,0.0008
35,0.009000000000000001,0.009000000000000001,0.0003,0.001
36,0.009000000000000001,0.01,0.0003,0.001
37,0.009000000000000001,0.012,0.0003,0.001
38,0.009000000000000001,0.013000000000000001,0.0003,0.001
39,0.009000000000000001,0.014,0.0003,0.001
40,0.01,0.01,0.0003,0.001
41,0.01,0.011,0.0003,0.001
42,0.01,0.014,0.0003,0.001
43,0.01,0.015,0.0003,0.001
44,0.01,0.016,0.0003,0.001
45,0.01,0.017,0.0003,0.001
46,0.01,0.025,0.0003,0.001
47,0.011,0.011,0.0003,0.001
48,0.011,0.012,0.0003,0.001
49,0.011,0.013000000000000001,0.0003,0.001
50,0.011,0.015,0.0003,0.001
51,0.011,0.02,0.0003,0.001
52,0.012,0.012,0.0003,0.001
53,0.012,0.014,0.0003,0.001
54,0.012,0.016,0.0003,0.001
55,0.012,0.017,0.0003,0.001
56,0.012,0.018000000000000002,0.0003,0.001
57,0.012,0.021,0.0003,0.001
58,0.012,0.022,0.0003,0.001
59,0.013000000000000001,0.013000000000000001,0.0003,0.0012
60,0.013000000000000001,0.018000000000000002,0.0003,0.0012
61,0.013000000000000001,0.02,0.0003,0.0012
62,0.014,0.014,0.0003,0.0012
63,0.014,0.015,0.0003,0.0012
64,0.014,0.02,0.0003,0.0012
65,0.014,0.022,0.0003,0.0012
66,0.015,0.015,0.0004,0.0012
67,0.015,0.016,0.0004,0.0012
68,0.015,0.017,0.0004,0.0012
69,0.015,0.022,0.0004,0.0012
70,0.015,0.024,0.0004,0.0012
71,0.016,0.016,0.0004,0.0012
72,0.016,0.017,0.0004,0.0012
73,0.016,0.018000000000000002,0.0004,0.0012
74,0.016,0.024,0.0004,0.0012
75,0.016,0.027,0.0004,0.0012
76,0.017,0.017,0.0004,0.0012
77,0.017,0.024,0.0004,0.0012
78,0.018000000000000002,0.018000000000000002,0.0004,0.0012
79,0.018000000000000002,0.019,0.0004,0.0012
80,0.018000000000000002,0.026000000000000002,0.0004,0.0012
81,0.018000000000000002,0.03,0.0004,0.0012
82,0.019,0.019,0.0004,0.0015
83,0.019,0.02,0.0004,0.0015
84,0.019,0.021,0.0004,0.0015
85,0.019,0.028,0.0004,0.0015
86,0.019,0.032,0.0004,0.0015
87,0.02,0.02,0.0004,0.0015
88,0.02,0.03,0.0004,0.0015
89,0.021,0.021,0.0005,0.0015
90,0.021,0.022,0.0005,0.0015
91,0.021,0.03,0.0005,0.0015
92,0.021,0.032,0.0005,0.0015
93,0.022,0.022,0.0005,0.0015
94,0.022,0.024,0.0005,0.0015
95,0.022,0.034,0.0005,0.0015
96,0.023,0.023,0.0005,0.0015
97,0.023,0.034,0.0005,0.0015
98,0.024,0.024,0.0005,0.0015
99,0.024,0.026000000000000002,0.0005,0.0015
100,0.024,0.036000000000000004,0.0005,0.0015
101,0.024,0.038,0.0005,0.0015
102,0.025,0.025,0.0005,0.0017
103,0.025,0.027,0.0005,0.0017
104,0.025,0.0335,0.0005,0.0017
105,0.025,0.036000000000000004,0.0005,0.0017
106,0.025,0.04,0.0005,0.0017
107,0.026000000000000002,0.026000000000000002,0.0005,0.0017
108,0.026000000000000002,0.028,0.0005,0.0017
109,0.026000000000000002,0.04,0.0005,0.0017
110,0.026000000000000002,0.048,0.0005,0.0017
111,0.028,0.028,0.0006,0.0017
112,0.028,0.03,0.0006,0.0017
113,0.028,0.036000000000000004,0.0006,0.0017
114,0.028,0.044,0.0006,0.0017
115,0.028,0.046,0.0006,0.0017
116,0.03,0.03,0.0006,0.0017
117,0.03,0.042,0.0006,0.0017
118,0.03,0.048,0.0006,0.0017
119,0.03,0.052000000000000005,0.0006,0.0017
120,0.032,0.032,0.0006,0.0022
121,0.032,0.046,0.0006,0.0022
122,0.032,0.052000000000000005,0.0006,0.0022
123,0.034,0.034,0.0006,0.0022
124,0.034,0.055,0.0006,0.0022
125,0.034,0.066,0.0006,0.0022
126,0.036000000000000004,0.036000000000000004,0.0007,0.0022
127,0.036000000000000004,0.058,0.0007,0.0022
128,0.038,0.038,0.0007,0.0022
129,0.038,0.052000000000000005,0.0007,0.0022
130,0.038,0.062,0.0007,0.0022
131,0.04,0.04,0.0007,0.0022
132,0.04,0.065,0.0007,0.0022
